Candidate List of SVHC for authorisation
Note: Group entries are split in different rows.
Export date: 11-mrt-2026 17:20:40


"Substance Identifier"	""	
"Reden voor opname "	""	
"Datum van opname  (from)"	""	
"Datum van opname  (to)"	""	



"Naam van de stof "	"Description"	"EG-nr. "	"CAS-nr. "	"Reden voor opname "	"Datum van opname "	"Besluit "	"IUCLID-gegevensset "	"Ondersteunend document "	"Reactie op commentaren "	"Opmerkingen "	
"magnesium perfluorobutanesulfonate"	""	"-"	"507453-86-3"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"lithium perfluorobutanesulfonate"	""	"-"	"131651-65-5"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"morpholinium perfluorobutanesulfonate"	""	"-"	"503155-89-3"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonic acid"	""	"206-793-1"	"375-73-5"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"tetrabutyl-phosphonium nonafluoro-butane-1-sulfonate"	""	"444-440-5"	"220689-12-3"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"dimethyl(phenyl)sulfanium perfluorobutanesulfonate"	""	"452-310-4"	"220133-51-7"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"1-(4-butoxy-1-naphthalenyl)tetrahydrothiophenium 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate"	""	"468-770-4"	"-"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"Triphenylsulfanium perfluorobutane sulfonate"	""	"478-340-8"	"144317-44-2"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"N,N,N-triethylethanaminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate"	""	"-"	"25628-08-4"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"bis(4-t-butylphenyl)iodonium perfluorobutanesulfonate"	""	"432-660-4"	"194999-85-4"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/079c04a0-2464-4168-f132-a22ffb04d910"	"https://echa.europa.eu/documents/10162/53791353-6577-a9e8-5600-c5ef51864652"	"https://echa.europa.eu/documents/10162/891ab33d-d263-cc4b-0f2d-d84cfb7f424a"	"https://echa.europa.eu/documents/10162/84d51ffb-f3ac-f182-10f2-31c4d9386ab9"	"The combined intrinsic properties justifying the inclusion as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following: very high persistence, high mobility in water and soil, high potential for long-range transport, and difficulty of remediation and water purification as well as moderate bioaccumulation in humans. The observed probable serious effects for human health and the environment are thyroid hormonal disturbances and reproductive toxicity seen in rodents, and effects on liver, kidney and haematological system in rats, hormonal disturbances and effects on reproduction in marine medaka fish and effects on expression of hormone receptors in tadpoles. Together, these elements lead to a very high potential for irreversible effects."	
"Diisohexyl phthalate"	""	"276-090-2"	"71850-09-4"	"Toxic for reproduction (Article 57c)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/802ed481-8bf1-0096-61a4-0bbd2f9b573c"	"https://echa.europa.eu/documents/10162/c9adbb8d-3989-2380-cb54-f34940de0002"	"https://echa.europa.eu/documents/10162/cc11a6e1-0b26-8a5d-189d-417eb06a60d4"	"https://echa.europa.eu/documents/10162/9f133792-ce5e-da2c-6a2c-8616ec336f6e"	""	
"2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one"	"ACETOCURE 97; GENOCURE*PMP; IGM 4817; IRGACURE 907; SPEEDCURE 97"	"400-600-6"	"71868-10-5"	"Toxic for reproduction (Article 57c)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/7d1e26b8-37af-4f0b-0d0f-5edb0b6e5a7f"	"https://echa.europa.eu/documents/10162/e31382a6-3e8a-a858-da3d-614c10f6c75d"	"https://echa.europa.eu/documents/10162/e4917be1-32fd-dbd6-e305-90f269d446dd"	"https://echa.europa.eu/documents/10162/4bd29548-f917-95c6-3c59-d6afd1e0901d"	""	
"2-benzyl-2-dimethylamino-4'-morpholinobutyrophenone"	"CG 25-369; IRGACURE 369; TK 11-319"	"404-360-3"	"119313-12-1"	"Toxic for reproduction (Article 57c)"	"16-jan-2020"	"https://echa.europa.eu/documents/10162/ba42270a-93fe-7cde-6d41-7f7af4e00e66"	"https://echa.europa.eu/documents/10162/dfd0d651-604f-f33f-0831-3672c1cbb580"	"https://echa.europa.eu/documents/10162/6d5c6d89-bd66-3c04-4a31-f580476b88b4"	"https://echa.europa.eu/documents/10162/54890824-f79f-c051-6c29-2efb018be01a"	""	
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)"	""	"-"	"-"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/a661cbe6-c805-b9c7-1287-53dee5cd1df5""https://echa.europa.eu/documents/10162/f162b35e-2aac-6b5a-a3de-3290bedd8805"	"https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264"	"https://echa.europa.eu/documents/10162/ceb2fc2c-78f2-627f-29ae-b37c0e91bc69""https://echa.europa.eu/documents/10162/f186ad0a-3831-025c-2628-3c0948e174d5"	"https://echa.europa.eu/documents/10162/70879c79-2312-31bd-09e5-558df06f19e2""https://echa.europa.eu/documents/10162/a524f414-c041-2388-f47a-302a46efdc79"	"In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."	
"tris(nonylphenyl) phosphite"	""	"247-759-6"	"26523-78-4"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/a661cbe6-c805-b9c7-1287-53dee5cd1df5""https://echa.europa.eu/documents/10162/f162b35e-2aac-6b5a-a3de-3290bedd8805"	"https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264"	"https://echa.europa.eu/documents/10162/ceb2fc2c-78f2-627f-29ae-b37c0e91bc69""https://echa.europa.eu/documents/10162/f186ad0a-3831-025c-2628-3c0948e174d5"	"https://echa.europa.eu/documents/10162/70879c79-2312-31bd-09e5-558df06f19e2""https://echa.europa.eu/documents/10162/a524f414-c041-2388-f47a-302a46efdc79"	"In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."	
"Phenol, p-sec-nonyl-, phosphite"	""	"-"	"106599-06-8"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/a661cbe6-c805-b9c7-1287-53dee5cd1df5""https://echa.europa.eu/documents/10162/f162b35e-2aac-6b5a-a3de-3290bedd8805"	"https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264"	"https://echa.europa.eu/documents/10162/ceb2fc2c-78f2-627f-29ae-b37c0e91bc69""https://echa.europa.eu/documents/10162/f186ad0a-3831-025c-2628-3c0948e174d5"	"https://echa.europa.eu/documents/10162/70879c79-2312-31bd-09e5-558df06f19e2""https://echa.europa.eu/documents/10162/a524f414-c041-2388-f47a-302a46efdc79"	"In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."	
"Phenol, 4-nonyl-, phosphite (3:1)"	""	"-"	"3050-88-2"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/a661cbe6-c805-b9c7-1287-53dee5cd1df5""https://echa.europa.eu/documents/10162/f162b35e-2aac-6b5a-a3de-3290bedd8805"	"https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264"	"https://echa.europa.eu/documents/10162/ceb2fc2c-78f2-627f-29ae-b37c0e91bc69""https://echa.europa.eu/documents/10162/f186ad0a-3831-025c-2628-3c0948e174d5"	"https://echa.europa.eu/documents/10162/70879c79-2312-31bd-09e5-558df06f19e2""https://echa.europa.eu/documents/10162/a524f414-c041-2388-f47a-302a46efdc79"	"In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."	
"tris(4-nonylphenyl, branched) phosphite"	""	"-"	"-"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/a661cbe6-c805-b9c7-1287-53dee5cd1df5""https://echa.europa.eu/documents/10162/f162b35e-2aac-6b5a-a3de-3290bedd8805"	"https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264"	"https://echa.europa.eu/documents/10162/ceb2fc2c-78f2-627f-29ae-b37c0e91bc69""https://echa.europa.eu/documents/10162/f186ad0a-3831-025c-2628-3c0948e174d5"	"https://echa.europa.eu/documents/10162/70879c79-2312-31bd-09e5-558df06f19e2""https://echa.europa.eu/documents/10162/a524f414-c041-2388-f47a-302a46efdc79"	"In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."	
"Phenol, p-isononyl-, phosphite (3:1)"	""	"-"	"31631-13-7"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/a661cbe6-c805-b9c7-1287-53dee5cd1df5""https://echa.europa.eu/documents/10162/f162b35e-2aac-6b5a-a3de-3290bedd8805"	"https://echa.europa.eu/documents/10162/8da7df6b-e62f-47f7-d9d1-154f8db267f8""https://echa.europa.eu/documents/10162/0a66176d-3f11-34ed-74e1-6062ae73f264"	"https://echa.europa.eu/documents/10162/ceb2fc2c-78f2-627f-29ae-b37c0e91bc69""https://echa.europa.eu/documents/10162/f186ad0a-3831-025c-2628-3c0948e174d5"	"https://echa.europa.eu/documents/10162/70879c79-2312-31bd-09e5-558df06f19e2""https://echa.europa.eu/documents/10162/a524f414-c041-2388-f47a-302a46efdc79"	"In addition to its intrinsic properties (see ECHA decision D(2024)7663-DC of 21 January 2025), tris(4-nonylphenyl, branched and linear) phosphite (TNPP) also meets the criteria of Article 57(f) of Regulation (EC) 1907/2006 (REACH) as a substance which is an endocrine disruptor to the environment when it contains ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP) (see ED decision ED/71/2019 of 16 July 2019)."	
"4-tert-butylphenol"	""	"202-679-0"	"98-54-4"	"Endocrine disrupting properties (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/ca2542ab-a35b-1c00-5490-708d59332c38""https://echa.europa.eu/documents/10162/99a7e1c6-2aa4-0c35-acc3-35ec26bb1ee8"	"https://echa.europa.eu/documents/10162/fedde563-03f7-51f0-85fd-1fceb0eaa18f"	"https://echa.europa.eu/documents/10162/41de4b52-51f3-84e9-3f9c-fa6f868139ad"	"https://echa.europa.eu/documents/10162/2c66d98c-d2a2-e146-265e-b8a1615e5c17"	""	
"2-methoxyethyl acetate"	""	"203-772-9"	"110-49-6"	"Toxic for reproduction (Article 57c)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/b7bc601c-ad77-4e90-0cdf-2701a59478fb"	"https://echa.europa.eu/documents/10162/eea50979-c40b-f00f-b767-891e93941ee1"	"https://echa.europa.eu/documents/10162/874297f1-6d65-b808-a62e-5d23cc5f1e5c"	"https://echa.europa.eu/documents/10162/7357fc26-f169-a309-95b1-7693dada001b"	""	
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides"	"covering any of their individual isomers and combinations thereof"	"-"	"-"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/fc76aefc-fc86-a5fc-b5c4-e358467ca832"	"https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0"	"https://echa.europa.eu/documents/10162/53fa6a5b-e95f-3128-ea9d-fa27f43b18bc"	"https://echa.europa.eu/documents/10162/5d5500fc-b935-f95c-02c7-d7722d1b795d"	"The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:
Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects."	
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionyl fluoride"	""	"218-173-8"	"2062-98-8"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/fc76aefc-fc86-a5fc-b5c4-e358467ca832"	"https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0"	"https://echa.europa.eu/documents/10162/53fa6a5b-e95f-3128-ea9d-fa27f43b18bc"	"https://echa.europa.eu/documents/10162/5d5500fc-b935-f95c-02c7-d7722d1b795d"	"The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:
Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects."	
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid"	""	"236-236-8"	"13252-13-6"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/fc76aefc-fc86-a5fc-b5c4-e358467ca832"	"https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0"	"https://echa.europa.eu/documents/10162/53fa6a5b-e95f-3128-ea9d-fa27f43b18bc"	"https://echa.europa.eu/documents/10162/5d5500fc-b935-f95c-02c7-d7722d1b795d"	"The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:
Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects."	
"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate"	""	"-"	"62037-80-3"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/fc76aefc-fc86-a5fc-b5c4-e358467ca832"	"https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0"	"https://echa.europa.eu/documents/10162/53fa6a5b-e95f-3128-ea9d-fa27f43b18bc"	"https://echa.europa.eu/documents/10162/5d5500fc-b935-f95c-02c7-d7722d1b795d"	"The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:
Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects."	
"potassium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionate"	""	"266-578-3"	"67118-55-2"	"Equivalent level of concern having probable serious effects to human health (Article 57(f) - human health)""Equivalent level of concern having probable serious effects to the environment (Article 57(f) - environment)"	"16-jul-2019"	"https://echa.europa.eu/documents/10162/fc76aefc-fc86-a5fc-b5c4-e358467ca832"	"https://echa.europa.eu/documents/10162/c07bc76c-4d62-7799-d0d4-17e43508aeb0"	"https://echa.europa.eu/documents/10162/53fa6a5b-e95f-3128-ea9d-fa27f43b18bc"	"https://echa.europa.eu/documents/10162/5d5500fc-b935-f95c-02c7-d7722d1b795d"	"The combined intrinsic properties justifying the inclusion for the Member State Committee as a substance for which there is scientific evidence of probable serious effects to human health and the environment which give rise to an equivalent level of concern are the following:
Persistence, mobility, potential for long-range transport, observed adverse effects (at least the following probable effects for human health: effects on the liver, the kidney, and the haematological and immune systems and effects on development; at least the following probable effects for the environment: population relevant effects on birds and mammals); as well as low adsorption potential and high water solubility rendering the substance fully bioavailable for uptake via (drinking) water. Together, these elements lead to a very high potential for irreversible effects."	
