substance_name,cluster,manual_label,umap1,umap2,tsne1,tsne2
Polychlorinated terphenyls (PCTs),4,Inorganic compounds & metal salts,-1.6231534568932977,-0.3568089379359173,2.088289780497568,-3.9871238771743593
Asbestos fibres,4,Inorganic compounds & metal salts,0.7091818140479597,-3.3771984352160382,-18.38857559154268,-6.217979461159203
"Polybromobiphenyls, Polybrominatedbiphenyls (PBB)",6,"Polymers, fatty acids & surfactants",-1.6836760131982293,-0.35076019897946586,2.2138801364586187,-4.142659873084081
Volatile esters of bromoacetic acids,5,"Trade names, codes & biological materials",1.5543483407827887,1.5521979556988788,6.522258778226492,33.4819695784664
2-naphthylamine and its salts,6,"Polymers, fatty acids & surfactants",-0.6170270530847041,-1.5232590211916852,-3.2705823841946544,-4.060170527940714
Benzidine and its salts,4,Inorganic compounds & metal salts,0.004003873619702669,-2.042881585507481,-5.461922629502898,-2.117698608452867
4-Aminobiphenyl xenylamine and its salts,6,"Polymers, fatty acids & surfactants",-0.7718243686822382,-1.4567929281283307,-1.3651807682069104,-3.1644613686791287
Lead carbonates,4,Inorganic compounds & metal salts,0.30937709525552115,-3.6756980194140363,-14.751525714311592,-11.720018995496105
Lead sulphates,4,Inorganic compounds & metal salts,0.21023898437943778,-3.655118681340306,-14.894787181688356,-11.465693529022731
Mercury compounds,4,Inorganic compounds & metal salts,-1.3308072178033319,-2.8417987598467755,3.5607321104660885,-27.795704556817633
Arsenic compounds,4,Inorganic compounds & metal salts,-0.9015553085473506,-3.1163391841936994,-10.667732899245221,-12.60262271768129
Organostannic compounds,6,"Polymers, fatty acids & surfactants",-2.1216182796624627,-1.6250059379626203,-0.14114619612940527,-10.968130710869932
Cadmium and its compounds,4,Inorganic compounds & metal salts,-0.8433714000848261,-4.130682922749608,-6.848323229946074,-26.865104473798905
"Monomethyl-dichloro-diphenyl methane Trade name: Ugilec 121, Ugilec 21",6,"Polymers, fatty acids & surfactants",4.334197989258436,3.4217045532177996,-22.717049387511675,26.953556107547264
"Monomethyl-dibromo-diphenyl methane bromobenzylbromotoluene, mixture of isomers",5,"Trade names, codes & biological materials",4.401850691589979,3.5123877750348163,29.130073394618346,8.041200136741518
Nickel and its compounds,4,Inorganic compounds & metal salts,-0.11306858941588083,-3.9540698303271222,-3.0833553865900956,-21.504639864914463
Creosote and Creosote related substances,4,Inorganic compounds & metal salts,8.816850653443005,-1.7686965240527082,-47.49343876997813,-8.123753521207947
Azocolourants and Azodyes,5,"Trade names, codes & biological materials",-4.83221674844298,0.6092249976109577,35.34399606079815,-14.874732046040416
"Diphenylether, octabromo derivative C12H2Br8O",6,"Polymers, fatty acids & surfactants",-3.736683854308459,-1.4614661706973004,23.33820910427431,-2.408997407746379
Nonylphenol ethoxylates (C2H4O)nC15H24O,5,"Trade names, codes & biological materials",-2.511899241652819,0.48221125468722115,6.042097995759627,8.670575065384895
Chromium VI compounds,4,Inorganic compounds & metal salts,-0.490697035041186,-2.673692680745213,-2.1341673787438795,-14.392295132256885
Polycyclic-aromatic hydrocarbons (PAH),2,Complex substances (UVCB with structure),5.4735174091192755,4.049391053767116,-19.124070334963765,39.74827538151159
Polycyclic aromatic hydrocarbons (PAH),2,Complex substances (UVCB with structure),5.4919805438849005,4.030952237696559,-19.122482046414053,39.74944636871123
Diisobutyl phthalate (DIBP); Dibutyl phthalate (DBP); Benzyl butyl phthalate (BBP); Bis(2-ethylhexyl) phthalate (DEHP),6,"Polymers, fatty acids & surfactants",0.12039118126359305,1.0462649093579364,7.535583903313282,22.315137499933346
Lead and its compounds,4,Inorganic compounds & metal salts,0.337542733702329,-3.823005892186253,-14.438186906976734,-11.887262713873048
Inorganic ammonium salts,4,Inorganic compounds & metal salts,-0.8860468952325312,-2.343118883519261,1.9904457546760623,-8.571025915680105
"C9-C14 linear and/or branched perfluorocarboxylic acids (C9-C14 PFCAs), their salts and C9-C14 PFCAs-related substances
perfluorononan-1-oic acid (PFNA); nonadecafluorodecanoic acid (PFDA); henicosafluoroundecanoic acid (PFUnDA); tricosafluorododecanoic acid (PFDoDA); pentacosafluorotridecanoic acid (PFTrDA); heptacosafluorotetradecanoic acid (PFTDA); including their salts and precursors",5,"Trade names, codes & biological materials",-1.374269255843493,-1.8489160312701154,1.9830506264957775,-13.44168007860024
Octamethylcyclotetrasiloxane (D4); Decamethylcyclopentasiloxane (D5); dodecamethylcyclohexasiloxane (D6),6,"Polymers, fatty acids & surfactants",-3.832673558440539,-1.5273728145647931,12.806575150786701,-17.22157403383146
"(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silanetriol and any of its mono-, di- or tri-O-(alkyl) derivatives",6,"Polymers, fatty acids & surfactants",-3.515471944060656,-1.3716512693453717,13.396775027678657,-23.537791659871623
Diisocyanates,6,"Polymers, fatty acids & surfactants",-2.1751456348565545,0.4966538773488117,22.813184476280032,20.475370591046218
Substances in tattoo inks and permanent make up,4,Inorganic compounds & metal salts,-0.1570253460076777,-4.819793917088597,-14.469504720919968,-26.755691999674116
formaldehyde and formaldehyde releasers,5,"Trade names, codes & biological materials",-1.1412587253716913,1.4394618497799945,12.886650760950358,14.431097013319494
synthetic polymer microparticles,5,"Trade names, codes & biological materials",0.6507908465000661,-3.4044627918291974,-18.78111348032029,-8.145405662777181
"undecafluorohexanoic acid (PFHxA), its salts and related substances",4,Inorganic compounds & metal salts,-1.3795101730493036,-1.8822705520678449,1.3142462092588514,-13.495484328053662
Per- and polyfluoroalkyl substances (PFAS),5,"Trade names, codes & biological materials",-1.453117140975329,-1.8112486375857282,2.0991311418010534,-13.916641381791154
"4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and its salts",6,"Polymers, fatty acids & surfactants",-3.8264651386407342,-1.9292175544787336,11.882396308836386,-21.842477449136144
"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)",6,"Polymers, fatty acids & surfactants",-5.078507432189318,0.16644444331637154,31.089690385283173,-12.737345907942997
reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives,3,Petroleum & coal tar fractions,-3.7106533138421502,6.737597249598415,49.7505120002159,10.964459898758031
"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid",6,"Polymers, fatty acids & surfactants",-4.832221039977404,-0.7972459568072247,24.52231107188379,-11.40678136306629
